2007,USA,2,Korea DPR,2,Group,Draw
2007,Japan,2,England,2,Group,Draw
2007,Nigeria,1,Sweden,1,Group,Draw
2007,Ghana,1,Australia,4,Group,Australia
2007,New Zealand,0,Brazil,5,Group,Brazil
2007,Norway,2,Canada,1,Group,Norway
2007,China PR,3,Denmark,2,Group,China PR
2007,Argentina,0,Japan,1,Group,Japan
2007,Sweden,0,USA,2,Group,USA
2007,England,0,Germany,0,Group,Draw
2007,Korea DPR,2,Nigeria,0,Group,Korea DPR
2007,Canada,4,Ghana,0,Group,Canada
2007,Denmark,2,New Zealand,0,Group,Denmark
2007,Australia,1,Norway,1,Group,Draw
2007,Brazil,4,China PR,0,Group,Brazil
2007,Germany,2,Japan,0,Group,Germany
2007,England,6,Argentina,1,Group,England
2007,Nigeria,0,USA,1,Group,USA
2007,Korea DPR,1,Sweden,2,Group,Sweden
2007,Norway,7,Ghana,2,Group,Norway
2007,Australia,2,Canada,2,Group,Draw
2007,China PR,2,New Zealand,0,Group,China PR
2007,Brazil,1,Denmark,0,Group,Brazil
2007,Germany,3,Korea DPR,0,Quarter Final,Germany
2007,USA,3,England,0,Quarter Final,USA
2007,Norway,1,China PR,0,Quarter Final,Norway
2007,Brazil,3,Australia,2,Quarter Final,Brazil
2007,Germany,3,Norway,0,Semi Final,Germany
2007,USA,0,Brazil,4,Semi Final,Brazil
2007,Norway,1,USA,4,Third Place Playoff,USA
2007,Germany,2,Brazil,0,Final,Germany
2011,Nigeria,0,France,1,Group,France
2011,Germany,2,Canada,1,Group,Germany
2011,Japan,2,New Zealand,1,Group,Japan
2011,Mexico,1,England,1,Group,Draw
2011,Colombia,0,Sweden,1,Group,Sweden
2011,USA,2,Korea DPR,0,Group,USA
2011,Norway,1,Equ. Guinea,0,Group,Norway
2011,Brazil,1,Australia,0,Group,Brazil
2011,Canada,0,France,4,Group,France
2011,Germany,1,Nigeria,0,Group,Germany
2011,Japan,4,Mexico,0,Group,Japan
2011,New Zealand,1,England,2,Group,England
2011,Korea DPR,0,Sweden,1,Group,Sweden
2011,USA,3,Colombia,0,Group,USA
